Name,Established,Location,Latitude,Longitude,Altitude
Sunriver Observatory,1960,"Sunriver, Oregon, USA",43.869394,-121.433354,1284
Table Mountain Observatory,1960,"Angeles National Forest, Wrightwood, California, USA",34.316657,-118.005777,1541
Ten Acre Observatory,1960,"Tribbey, Oklahoma, USA",35.115352,-97.053357,308
Texas A&M Astronomical Observatory,1960,"College Station, Texas, USA",30.627977,-96.334407,104
University of North Alabama Observatory,1960,"Florence, Alabama, USA",34.79981,-87.677251,168
University of Maryland Observatory,1960,"College Park, Maryland, USA",38.989697,-76.93776,23
University of Oklahoma Observatory,1960,"Norman, Oklahoma, USA",35.222567,-97.439478,359
Vanderbilt University Observatory,1960,"Nashville, Tennessee, USA",36.162664,-86.781602,153
Weaver Student Observatory,1960,"Monterey, California, USA",36.600238,-121.894676,5
Yale Student Observatory,1960,"New Haven, Connecticut, USA",41.308274,-72.927883,12
O'Brien Observatory,1961,"Marine on St. Croix, Minnesota, USA",45.198434,-92.770531,225
Cloudcroft Observatory (defunct),1962,"New Mexico, USA",34.51994,-105.87009,1918
Keeble Observatory,1963,"Ashland, Virginia, USA",37.759032,-77.479984,66
Rankin Science Observatory,1963,"Appalachian State University, Boone, North Carolina, USA",36.213484,-81.684145,985
Sagamore Hill Radio Observatory,1963,"Hamilton, Massachusetts, USA",42.636205,-70.843105,13
Brooks Astronomical Observatory,1964,"Mount Pleasant, Michigan, USA",43.597807,-84.767514,235
Haystack Observatory,1964,"Westford, Massachusetts, USA",42.579258,-71.437841,121
Hector J Robinson Observatory,1964,"Lincoln Park, Michigan, USA",42.250594,-83.178536,179
Ralph A. Worley Observatory,1964,"Shreveport, Louisiana, USA",32.525152,-93.750179,47
Paul Robinson Observatory,1965,"High Bridge, New Jersey, USA",40.667045,-74.895723,98
Pine Mountain Observatory,1965,"Bend, Oregon, USA",44.058173,-121.31531,1105
Fan Mountain Observatory,1966,"Albemarle County, Virginia, USA",38.056709,-78.6115,203
Fick Observatory,1966,"Boone, Iowa, USA",42.059705,-93.880227,346
Lindheimer Astrophysical Research Center (defunct),1966,"Evanston, Illinois, USA",42.045072,-87.687697,184
Morgan–Monroe Observatory,1966,"Morgan–Monroe State Forest, Indiana, USA",39.346339,-86.424808,250
Stull Observatory,1966,"Alfred, New York, USA",42.254237,-77.790551,536
Blue Mesa Observatory (defunct),1967,"New Mexico, USA",34.51994,-105.87009,1918
Mauna Kea Observatory,1967,"Mauna Kea, Hawaii, USA",19.820611,-155.468094,4197
Sperry Observatory,1967,"Cranford, New Jersey, USA",40.658421,-74.299593,21
Fred Lawrence Whipple Observatory,1968,"Mount Hopkins, Arizona, USA",31.688422,-110.885365,2577
Mount Stony Brook Observatory,1968,"Stony Brook, New York, USA",40.925654,-73.140943,27
Mount Laguna Observatory,1968,"San Diego, California, USA",32.715738,-117.161084,15
Springfield Observatory,1968,"Springfield, Massachusetts, USA",42.101483,-72.589811,21
Thompson Observatory,1968,"Beloit, Wisconsin, USA",42.508348,-89.031776,227
Apollo Observatory,1969,"Dayton, Ohio, USA",39.758948,-84.191607,226
Big Bear Lake Solar Observatory,1969,"Big Bear City, California, USA",34.261118,-116.84503,2068
Michigan State University Observatory,1969,"East Lansing, Michigan, USA",42.736979,-84.483865,262
Veen Observatory,1970,"Lowell, Michigan, USA",42.933643,-85.341961,193
Rattlesnake Mountain Observatory (defunct),1971,"Hanford Reach National Monument, Washington, USA",46.671629,-119.659873,158
Behlen Observatory,1972,"Mead, Nebraska, USA",41.228649,-96.489212,367
Black Moshannon Observatory (defunct),1972,"Pennsylvania, USA",41.203322,-77.194525,177
Manastash Ridge Observatory,1972,"Ellensburg, Washington, USA",46.996514,-120.547847,466
Monterey Institute for Research in Astronomy,1972,"Monterey, California, USA",36.600238,-121.894676,5
Glen D. Riley Observatory,1973,"Naperville, Illinois, USA",41.750839,-88.153535,214
Goldendale Observatory,1973,"Goldendale, Washington, USA",45.820679,-120.821731,499
Harvard–Smithsonian Center for Astrophysics,1973,"Cambridge, Massachusetts, USA",42.373616,-71.109733,6
Morris Observatory,1973,"North Manchester, Indiana, USA",41.000601,-85.768597,235
Hartung–Boothroyd Observatory,1974,"Ithaca, New York, USA",42.443961,-76.501881,120
Hobbs Observatory,1974,"Fall Creek, Wisconsin, USA",44.763572,-91.277099,285
Kopernik Observatory & Science Center,1974,"Vestal, New York, USA",42.08559,-76.053575,252
Riley Observatory,1974,"Naperville, Illinois, USA",41.750839,-88.153535,214
Wyoming Infrared Observatory,1975,"Laramie, Wyoming, USA",41.311367,-105.591101,2185
Braeside Observatory (defunct),1976,"Flagstaff, Arizona, USA",33.774828,-84.296312,318
Five College Radio Astronomy Observatory (defunct),1976,"New Salem, Massachusetts, USA",42.504255,-72.332029,314
Miller Observatory,1976,"Maiden, North Carolina, USA",35.575689,-81.211747,274
San Fernando Observatory (SFO),1976,"Sylmar, California, USA",34.305828,-118.457197,371
SFA Observatory,1976,"Nacogdoches, Texas, USA",31.603513,-94.655487,92
Sonoma State Observatory,1976,"Rohnert Park, California, USA",38.339637,-122.701098,33
Hyde Memorial Observatory,1977,"Lincoln, Nebraska, USA",40.813616,-96.702596,356
Margaret M. Jacoby Observatory,1978,"Warwick, Rhode Island, USA",41.700101,-71.416167,5
Moore Observatory,1978,"Oldham County, Kentucky, USA",38.356003,-85.478807,243
Lake Afton Public Observatory,1979,"Wichita, Kansas, USA",37.687176,-97.330053,400
Las Brisas Observatory,1979,"Colorado, USA",39.550051,-105.782067,3380
MMT Observatory,1979,"Mount Hopkins, Arizona, USA",31.688422,-110.885365,2577
Baker Observatory,1980,"Marshfield, Missouri, USA",37.338658,-92.907121,456
Frosty Drew Observatory,1980,"Charlestown, Rhode Island, USA",41.383216,-71.641874,5
Very Large Array,1980,"Socorro, New Mexico, USA",34.0584,-106.891416,1403
Dark Sky Observatory,1981,"Phillips Gap, Wilkes County, North Carolina, USA",36.264296,-81.4351,979
Rogers Observatory,1981,"Traverse City, Michigan, USA",44.763057,-85.620632,182
West Mountain Observatory,1981,West Mountain (Utah) USA,40.060787,-111.788266,1383
Francis Marion University Observatory,1982,"Florence, South Carolina, USA",34.195433,-79.762562,42
National Optical Astronomy Observatory,1982,"Tucson, Arizona, USA",32.222607,-110.974711,725
Ashton Observatory,1983,"Baxter, Iowa, USA",41.8261,-93.15159,307
Winer Observatory,1983,"Sonoita, Arizona, USA",31.679534,-110.655359,1490
Apache Point Observatory,1984,"Sunspot, New Mexico, USA",32.789789,-105.819785,2806
Grant O. Gale Observatory,1984,"Grinnell, Iowa, USA",41.743409,-92.723246,311
Witte Observatory,1984,"Mediapolis, Iowa, USA",41.00809,-91.164037,234
University of New Hampshire Observatory,1985,"Durham, New Hampshire, USA",43.133955,-70.926439,13
Warren Rupp Observatory,1985,"Mansfield, Ohio, USA",40.75839,-82.515447,378
Fremont Peak Observatory,1986,"San Juan Bautista, California, USA",36.845511,-121.537997,66
James Clerk Maxwell Telescope,1987,"Mauna Kea, Hawaii, USA",19.820611,-155.468094,4197
Palisades-Dows Observatory,1987,"Cedar Rapids, Iowa, USA",41.97788,-91.665623,221
Onan Observatory,1990,"Norwood Young America, Minnesota, USA",44.773573,-93.921635,302
Vega–Bray Observatory,1990,"Benson, Arizona, USA",31.967861,-110.294517,1092
Williams Observatory,1990,"Boiling Springs, North Carolina, USA",35.254292,-81.667041,269
Keck Observatory,1993,"Mauna Kea, Hawaii, USA",19.820611,-155.468094,4197
Mount Graham International Observatory,1993,"Mount Graham, Arizona, USA",32.701735,-109.871468,3262
Vatican Advanced Technology Telescope,1993,"Mount Graham, Arizona, USA",32.701735,-109.871468,3262
Menke Observatory,1994,"Davenport, Iowa, USA",41.523644,-90.577637,180
Red Buttes Observatory,1994,"Laramie, Wyoming, USA",41.311367,-105.591101,2185
WIYN Observatory,1994,"Kitt Peak, Arizona, USA",31.964787,-111.599505,2070
Aker Observatory,1995,"Safford, Arizona, USA",32.833955,-109.70758,889
Otter Creek Observatory,1995,"Meade County, Kentucky, USA",37.96015,-86.21585,192
Robotic Lunar Observatory (defunct),1995,"Flagstaff, Arizona, USA",35.198284,-111.651302,2104
Bradstreet Observatory,1996,"St. Davids, Pennsylvania, USA",40.040943,-75.378523,109
Meyer–Womble Observatory,1996,"Mount Evans, Colorado, USA",39.588301,-105.643829,4310
Seven Hills Observatory,1996,"Kearney, Nebraska, USA",40.69933,-99.081678,656
Class of 1951 Observatory,1997,"Poughkeepsie, New York, USA",41.700371,-73.92097,60
Highland Road Park Observatory,1997,"Baton Rouge, Louisiana, USA",30.451468,-91.187147,16
Mountain Skies Observatory,1997,"Lyman, Wyoming, USA",41.327451,-110.292932,2043
Ford Observatory,1998,"Ithaca, New York, USA",42.443961,-76.501881,120
Tamke-Allan Observatory,1998,"Roane County, Tennessee, USA",35.836117,-84.564147,225
Fox Park Public Observatory,1999,"Potterville, Michigan, USA",42.629203,-84.738874,274
Badlands Observatory,2000,"Quinn, South Dakota, USA",43.988045,-102.126267,797
Mead Observatory,2001,"Columbus, Georgia, USA",32.460976,-84.987709,73
Jack C. Davis Observatory,2002,"Carson City, Nevada, USA",39.163798,-119.767403,1428
