Name,Established,Location,Latitude,Longitude,Altitude
Gemini Observatory,1999,"Hilo, Hawaii, USA",19.724111,"-155.086819,6",6
Glen D. Riley Observatory,1973,"Naperville, Illinois, USA",41.750839,-88.153535,214
Goodsell Observatory,1887,"Northfield, Minnesota, USA",44.458298,-93.161604,276
Goethe Link Observatory,1939,"Brooklyn, Indiana, USA",39.539214,-86.36916,204
Goldendale Observatory,1973,"Goldendale, Washington, USA",45.820679,-120.821731,499
Grant O. Gale Observatory,1984,"Grinnell, Iowa, USA",41.743409,-92.723246,311
"Green Bank Telescope,",,"Green Bank, West Virginia, USA",38.419531,-79.831808,807
Griffith Observatory,1935,"Los Angeles, California, USA",34.052234,-118.243685,87
Haleakala Observatory,,"Maui, Hawaii, USA",20.798363,-156.331925,661
Hat Creek Radio Observatory,1950,"Shasta County, California, USA",40.790886,-121.847449,1443
Hard Labor Creek Observatory,,"Atlanta, Georgia, USA",33.748995,-84.387982,320
Hartung–Boothroyd Observatory,1974,"Ithaca, New York, USA",42.443961,-76.501881,120
Harvard College Observatory,1839,"Cambridge, Massachusetts, USA",42.373616,-71.109733,6
Harvard–Smithsonian Center for Astrophysics,1973,"Cambridge, Massachusetts, USA",42.373616,-71.109733,6
Haystack Observatory,1964,"Westford, Massachusetts, USA",42.579258,-71.437841,121
Hector J Robinson Observatory,1964,"Lincoln Park, Michigan, USA",42.250594,-83.178536,179
Herrett Observatory,2004,"Twin Falls, Idaho, USA",42.555838,-114.470052,1140
Hidden Valley Observatory,1960s,"Rapid City, South Dakota, USA",44.080543,-103.231015,988
Highland Road Park Observatory,1997,"Baton Rouge, Louisiana, USA",30.451468,-91.187147,16
Hirsch Observatory,1942,"Troy, New York, USA",42.728412,-73.691785,11
Hobbs Observatory,1974,"Fall Creek, Wisconsin, USA",44.763572,-91.277099,285
Holcomb Observatory and Planetarium,1954,"Indianapolis, Indiana, USA",39.768403,-86.158068,223
Hopkins Observatory,1838,"Williamstown, Massachusetts, USA",42.71202,-73.20369,209
Howell Observatory,,"Starkville, Mississippi, USA",33.4504,-88.818387,102
Hyde Memorial Observatory,1977,"Lincoln, Nebraska, USA",40.813616,-96.702596,356
Jack C. Davis Observatory,2002,"Carson City, Nevada, USA",39.163798,-119.767403,1428
James Clerk Maxwell Telescope,1987,"Mauna Kea, Hawaii, USA",19.820611,-155.468094,4197
James Wylie Shepherd Observatory,2009,"Montevallo, Alabama, USA",33.100675,-86.864156,124
Jewett Observatory,1953,"Pullman, Washington, USA",46.729777,-117.181738,716
Jones Observatory,1936,"Chattanooga, Tennessee, USA",35.04563,-85.30968,206
Judson B. Coit Observatory,,"Boston, Massachusetts, USA",42.360083,-71.05888,10
Keck Observatory,1993,"Mauna Kea, Hawaii, USA",19.820611,-155.468094,4197
Keeble Observatory,1963,"Ashland, Virginia, USA",37.759032,-77.479984,66
Kennon Observatory,1939,"Oxford, Mississippi, USA",34.366495,-89.519248,156
Kirkwood Observatory,1901,"Bloomington, Indiana, USA",39.165325,-86.526386,234
Kitt Peak National Observatory,1958,"Tucson, Arizona, USA",32.222607,-110.974711,725
Kopernik Observatory & Science Center,1974,"Vestal, New York, USA",42.08559,-76.053575,252
Ladd Observatory,1891,"Providence, Rhode Island, USA",41.823989,-71.412834,3
Lake Afton Public Observatory,1979,"Wichita, Kansas, USA",37.687176,-97.330053,400
Las Brisas Observatory,1979,"Colorado, USA",39.550051,-105.782067,3380
Laws Observatory,1880,"Columbia, Missouri, USA",38.951705,-92.334072,216
Leander McCormick Observatory,1885,"Mount Jefferson, Charlottesville, Virginia, USA",38.032778,-78.522222,272
Levenhagen Observatory,,"Seattle, Washington, USA",47.60621,-122.332071,56
Lick Observatory,1881,"Mount Hamilton, San Jose, California, USA",37.349116,-121.729966,529
LightBuckets (commercial observatory),2007,"Rodeo, New Mexico, USA",31.835372,-109.03117,1260
Lindheimer Astrophysical Research Center (defunct),1966,"Evanston, Illinois, USA",42.045072,-87.687697,184
Long Wavelength Array,2010,"Socorro, New Mexico, USA",34.0584,-106.891416,1403
Lowell Observatory,1894,"Flagstaff, Arizona, USA",35.198284,-111.651302,2104
Anderson Mesa Station,1959,"Flagstaff, Arizona, USA",35.198284,-111.651302,2104
Macalester College Observatory,,"Saint Paul, Minnesota, USA",44.953703,-93.089958,229
Magdalena Ridge Observatory (under construction),2006,"Socorro County, New Mexico, USA",33.883709,-106.723464,1552
Manastash Ridge Observatory,1972,"Ellensburg, Washington, USA",46.996514,-120.547847,466
Margaret M. Jacoby Observatory,1978,"Warwick, Rhode Island, USA",41.700101,-71.416167,5
Maria Mitchell Observatory,1908,"Nantucket, Massachusetts, USA",41.28347,-70.099451,6
Martz Observatory,,"Chautauqua County, New York, USA",42.231283,-79.560344,497
Mauna Kea Observatory,1967,"Mauna Kea, Hawaii, USA",19.820611,-155.468094,4197
Mauna Loa Solar Observatory,,"Hawaii, USA",19.896766,-155.582782,1493
Maynard F. Jordan Observatory,1901,"Orono, Maine, USA",44.883113,-68.671941,38
McDonald Observatory,,"Davis Mountains, Texas, USA",30.750147,-104.0838,1869
McKim Observatory,1884,"Greencastle, Indiana, USA",39.64449,-86.864732,257
McMath–Hulbert Solar Observatory,1930,"Lake Angelus, Michigan, USA",42.698643,-83.316605,299
MDM Observatory,,"Kitt Peak, Arizona, USA",31.964787,-111.599505,2070
Mead Observatory,2001,"Columbus, Georgia, USA",32.460976,-84.987709,73
Mees Observatory,,"Rochester, New York, USA",43.156578,-77.608847,159
Mehalso Observatory,,"Erie, Pennsylvania, USA",42.129224,-80.085059,199
Melton Memorial Observatory,1928,"Columbia, South Carolina, USA",34.00071,-81.034814,91
Mendenhall Observatory,2002,"Stillwater, Oklahoma, USA",36.115607,-97.058368,273
Menke Observatory,1994,"Davenport, Iowa, USA",41.523644,-90.577637,180
Meyer–Womble Observatory,1996,"Mount Evans, Colorado, USA",39.588301,-105.643829,4310
Michigan State University Observatory,1969,"East Lansing, Michigan, USA",42.736979,-84.483865,262
Miller Observatory,1976,"Maiden, North Carolina, USA",35.575689,-81.211747,274
MMT Observatory,1979,"Mount Hopkins, Arizona, USA",31.688422,-110.885365,2577
Monterey Institute for Research in Astronomy,1972,"Monterey, California, USA",36.600238,-121.894676,5
Moore Observatory,1978,"Oldham County, Kentucky, USA",38.356003,-85.478807,243
Morgan–Monroe Observatory,1966,"Morgan–Monroe State Forest, Indiana, USA",39.346339,-86.424808,250
Morris Observatory,1973,"North Manchester, Indiana, USA",41.000601,-85.768597,235
Morrison Observatory,,"Fayette, Missouri, USA",39.145865,-92.683794,214
Mount Stony Brook Observatory,1968,"Stony Brook, New York, USA",40.925654,-73.140943,27
Mounds Observatory,,"Tulsa, Oklahoma, USA",36.153982,-95.992775,219
Mount Cuba Astronomical Observatory,,"Greenville, Delaware, USA",39.779001,-75.59826,78
Mount Graham International Observatory,1993,"Mount Graham, Arizona, USA",32.701735,-109.871468,3262
Mount Laguna Observatory,1968,"San Diego, California, USA",32.715738,-117.161084,15
Mount Lemmon Observatory,,"Tucson, Arizona, USA",32.222607,-110.974711,725
Mount Wilson Observatory,1904,"Mount Wilson, Los Angeles County, California, USA",34.226423,-118.064232,1693
Mountain Skies Observatory,1997,"Lyman, Wyoming, USA",41.327451,-110.292932,2043
National Optical Astronomy Observatory,1982,"Tucson, Arizona, USA",32.222607,-110.974711,725
National Radio Astronomy Observatory,1957,"Charlottesville, Virginia, USA",38.029306,-78.476678,142
National Solar Observatory,,"Sunspot, New Mexico, USA & Kitt Peak, Arizona, USA",31.95989,-111.599748,2060
Naval Research Lab. Radio Sta.,,"Sugar Grove, West Virginia, USA",38.511009,-79.32196,574
Naylor Observatory,,"Harrisburg, Pennsylvania, USA",40.273191,-76.886701,107
Northern Arizona University Observatory,,"Flagstaff, AZ, USA",35.198284,-111.651302,2104
North Georgia Astronomical Observatory,,"Dahlonega, Georgia, USA",34.526147,-83.984395,451
O'Brien Observatory,1961,"Marine on St. Croix, Minnesota, USA",45.198434,-92.770531,225
Oil Region Astronomical Observatory,,"Venango County, Pennsylvania, USA",41.389661,-79.829674,424
Onan Observatory,1990,"Norwood Young America, Minnesota, USA",44.773573,-93.921635,302
Otter Creek Observatory,1995,"Meade County, Kentucky, USA",37.96015,-86.21585,192
Owens Valley Radio Observatory,1958,"Bishop, California, USA",37.361424,-118.399664,1265
Palisades-Dows Observatory,1987,"Cedar Rapids, Iowa, USA",41.97788,-91.665623,221
Palomar Observatory,1948,"Palomar Mountain, California, USA",33.321176,-116.879633,1661
Paul Robinson Observatory,1965,"High Bridge, New Jersey, USA",40.667045,-74.895723,98
Peach Mountain Observatory,1950,"Dexter, Michigan, USA",42.33837,-83.888555,265
Perkins Observatory,1931,"Delaware, Ohio, USA",40.298672,-83.067965,265
Pine Bluff Observatory,1958,"Cross Plains, Wisconsin, USA",43.114439,-89.655678,263
Pine Mountain Observatory,1965,"Bend, Oregon, USA",44.058173,-121.31531,1105
Pollock Astronomical Observatory,2004,"Hunting Valley, Ohio, USA",41.489219,-81.401781,232
Portage Lake Observatory (defunct),1948,"Dexter, Michigan, USA",42.33837,-83.888555,265
Puckett Observatory,,"Ellijay, Georgia, USA",34.694808,-84.48215,393
Rainwater Observatory,,"French Camp, Mississippi, USA",33.293181,-89.399516,125
Ralph A. Worley Observatory,1964,"Shreveport, Louisiana, USA",32.525152,-93.750179,47
Rankin Science Observatory,1963,"Appalachian State University, Boone, North Carolina, USA",36.213484,-81.684145,985
Rattlesnake Mountain Observatory (defunct),1971,"Hanford Reach National Monument, Washington, USA",46.671629,-119.659873,158
Red Barn Observatory,2006,"Ty Ty, Georgia, USA",31.47185,-83.646836,97
Red Buttes Observatory,1994,"Laramie, Wyoming, USA",41.311367,-105.591101,2185
Riley Observatory,1974,"Naperville, Illinois, USA",41.750839,-88.153535,214
RIT Observatory,,"Rochester, New York, USA",43.156578,-77.608847,159
Ritter Observatory,,"Toledo, Ohio, USA",41.652805,-83.537867,179
Robert A. Schommer Observatory,,"Rutgers University, New Brunswick, New Jersey, USA",40.500819,-74.447399,15
Robert Brownlee Observatory,,"Lake Arrowhead, California, USA",34.24834,-117.189208,1582
Robinson Observatory,,"Orlando, Florida, USA",28.538336,-81.379236,31
Robotic Lunar Observatory (defunct),1995,"Flagstaff, Arizona, USA",35.198284,-111.651302,2104
Rogers Observatory,1981,"Traverse City, Michigan, USA",44.763057,-85.620632,182
Rolnick Observatory,,"Westport, Connecticut, USA",41.141472,-73.357905,5
Rosemary Hill Observatory,,"Bronson, Florida, USA",29.447745,-82.642334,19
Rutherford Observatory,1920s,"New York City, New York, USA",40.712775,-74.005973,10
San Fernando Observatory (SFO),1976,"Sylmar, California, USA",34.305828,-118.457197,371
SFA Observatory,1976,"Nacogdoches, Texas, USA",31.603513,-94.655487,92
Sagamore Hill Radio Observatory,1963,"Hamilton, Massachusetts, USA",42.636205,-70.843105,13
Shattuck Observatory,1854,"Hanover, New Hampshire, USA",43.702245,-72.289553,164
Seven Hills Observatory,1996,"Kearney, Nebraska, USA",40.69933,-99.081678,656
Sherzer Observatory,1878,"Ypsilanti, Michigan, USA",42.24115,-83.612994,221
Smith Observatory,1880s,"Beloit, Wisconsin, USA",42.508348,-89.031776,227
Smithsonian Astrophysical Observatory,1890,"Cambridge, Massachusetts, USA",42.373616,-71.109733,6
Sola Fide Observatory,,"Austin, Minnesota, USA",43.66663,-92.974637,367
Sommers–Bausch Observatory,1949,"Boulder, Colorado, USA",40.014986,-105.270546,1624
Sonoma State Observatory,1976,"Rohnert Park, California, USA",38.339637,-122.701098,33
Sperry Observatory,1967,"Cranford, New Jersey, USA",40.658421,-74.299593,21
Springfield Observatory,1968,"Springfield, Massachusetts, USA",42.101483,-72.589811,21
Sproul Observatory,,"Swarthmore, Pennsylvania, USA",39.902057,-75.349912,40
Stephens Memorial Observatory,1901,"Hiram, Ohio, USA",41.312555,-81.14371,381
Steward Observatory,1916,"Tucson, Arizona, USA",32.222607,-110.974711,725
Stokesville Observatory,,"Virginia, USA",37.431573,-78.656894,214
Stull Observatory,1966,"Alfred, New York, USA",42.254237,-77.790551,536
Submillimeter Array,,"Mauna Kea, Hawaii, USA",19.820611,-155.468094,4197
Sunriver Observatory,,"Sunriver, Oregon, USA",43.869394,-121.433354,1284
Table Mountain Observatory,,"Angeles National Forest, Wrightwood, California, USA",34.316657,-118.005777,1541
Tamke-Allan Observatory,1998,"Roane County, Tennessee, USA",35.836117,-84.564147,225
Ten Acre Observatory,,"Tribbey, Oklahoma, USA",35.115352,-97.053357,308
The Dam Observatory,2017,"Lake Tschida, North Dakota, USA",46.590801,-101.809805,652
Texas A&M Astronomical Observatory,,"College Station, Texas, USA",30.627977,-96.334407,104
Theodore Jacobsen Observatory,1895,"Seattle, Washington, USA",47.60621,-122.332071,56
Thompson Observatory,1968,"Beloit, Wisconsin, USA",42.508348,-89.031776,227
University of Alabama Observatory,1950,"Tuscaloosa, Alabama, USA",33.209841,-87.569173,69
University of Alabama Observatory (Old),1849,"Tuscaloosa, Alabama, USA",33.209841,-87.569173,69
University of North Alabama Observatory,,"Florence, Alabama, USA",34.79981,-87.677251,168
University of Illinois Astronomical Observatory,1896,"Urbana, Illinois, USA",40.110588,-88.20727,223
University of Maryland Observatory,,"College Park, Maryland, USA",38.989697,-76.93776,23
University of Michigan-Dearborn Observatory,2007,"Dearborn, Michigan, USA",42.32226,-83.176314,180
University of New Hampshire Observatory,1985,"Durham, New Hampshire, USA",43.133955,-70.926439,13
University of Oklahoma Observatory,,"Norman, Oklahoma, USA",35.222567,-97.439478,359
U.S. Naval Observatory (USNO),1844,"Washington, D.C., USA",38.907192,-77.036871,22
U.S. Naval Observatory (Flagstaff Station),1955,"Flagstaff, Arizona, USA",35.198284,-111.651302,2104
Van Vleck Observatory,1914,"Middletown, Connecticut, USA",41.562321,-72.650649,17
Vanderbilt University Observatory,,"Nashville, Tennessee, USA",36.162664,-86.781602,153
Vassar College Observatory (defunct),1865,"Poughkeepsie, New York, USA",41.700371,-73.92097,60
Vatican Advanced Technology Telescope,1993,"Mount Graham, Arizona, USA",32.701735,-109.871468,3262
Veen Observatory,1970,"Lowell, Michigan, USA",42.933643,-85.341961,193
Vega–Bray Observatory,1990,"Benson, Arizona, USA",31.967861,-110.294517,1092
Very Large Array,1980,"Socorro, New Mexico, USA",34.0584,-106.891416,1403
Warner Observatory (defunct),1882,"Rochester, New York, USA",43.156578,-77.608847,159
Warner and Swasey Observatory,1919,"Cleveland, Ohio, USA",41.49932,-81.694361,200
Warren Rupp Observatory,1985,"Mansfield, Ohio, USA",40.75839,-82.515447,378
Washburn Observatory,1881,"Madison, Wisconsin, USA",43.073052,-89.40123,266
Weaver Student Observatory,,"Monterey, California, USA",36.600238,-121.894676,5
Weitkamp Observatory,1955,"Westerville, Ohio, USA",40.126669,-82.931881,264
West Mountain Observatory,1981,West Mountain (Utah) USA,40.060787,-111.788266,1383
Whitin Observatory,1901,"Wellesley, Massachusetts, USA",42.296797,-71.292388,39
Widener University Observatory,2004,"Chester, Pennsylvania, USA",39.849557,-75.355746,3
Wilder Observatory,1903,"Amherst, Massachusetts, USA",42.373222,-72.519854,96
Willard L. Eccles Observatory,2009,"Frisco Peak, Utah, USA",38.520238,-113.288298,2934
Williams Observatory,1990,"Boiling Springs, North Carolina, USA",35.254292,-81.667041,269
Winer Observatory,1983,"Sonoita, Arizona, USA",31.679534,-110.655359,1490
Winfree Observatory,1900,"Lynchburg, Virginia, USA",37.413754,-79.142246,196
Witte Observatory,1984,"Mediapolis, Iowa, USA",41.00809,-91.164037,234
WIYN Observatory,1994,"Kitt Peak, Arizona, USA",31.964787,-111.599505,2070
Wyoming Infrared Observatory,1975,"Laramie, Wyoming, USA",41.311367,-105.591101,2185
Yale Student Observatory,,"New Haven, Connecticut, USA",41.308274,-72.927883,12
Yerkes Observatory,1897,"Williams Bay, Wisconsin, USA",42.578072,-88.540933,267
Yuba City Astronomical Observatory,2010,"Yuba City, California, USA",39.140448,-121.616911,17
